loan_id,customer_id,loan_amount,term_months,interest_rate,application_date,status,defaulted,age,gender,income,employment_status,city,credit_score,credit_score_provider,last_updated,application_year,application_month,loan_to_income_ratio,risk_segment
LOAN000011,CUST0155,239918.45,48,14.44,2025-04-24,APPROVED,0,73,F,120174,Unemployed,San Francisco,558.0,Experian,2025-09-30T13:25:04.338764,2025,4,2.0,High Risk
LOAN000012,CUST0052,310780.78,48,15.95,2025-04-10,APPROVED,0,46,F,113738,Retired,San Francisco,813.0,Experian,2025-09-30T13:25:03.088219,2025,4,2.73,Low Risk
LOAN000013,CUST0248,233240.6,60,17.26,2025-05-07,APPROVED,0,45,M,122308,Self-Employed,San Francisco,843.0,Experian,2025-09-30T13:25:05.962505,2025,5,1.91,Low Risk
LOAN000014,CUST0048,276324.47,12,23.97,2025-06-26,APPROVED,0,26,M,184233,Retired,San Francisco,475.0,Experian,2025-09-30T13:25:03.040356,2025,6,1.5,High Risk
LOAN000015,CUST0053,327208.62,48,14.98,2024-12-09,APPROVED,0,35,M,230614,Retired,Seattle,561.0,,,2024,12,1.42,High Risk
LOAN000016,CUST0035,151993.93,12,17.63,2025-07-10,APPROVED,1,37,F,163070,Retired,Chicago,791.0,Experian,2025-09-30T13:25:02.902333,2025,7,0.93,Low Risk
LOAN000017,CUST0233,400851.4,48,18.46,2024-12-16,PENDING,0,33,F,239615,Unemployed,Austin,745.0,Equifax,2025-09-30T13:25:05.750399,2024,12,1.67,Low Risk
LOAN000018,CUST0161,60221.6,24,6.56,2025-03-25,APPROVED,0,45,F,68459,Employed,San Francisco,806.0,TransUnion,2025-09-30T13:25:04.439524,2025,3,0.88,Low Risk
LOAN000019,CUST0137,152220.28,12,10.97,2025-08-06,APPROVED,0,67,M,86111,Self-Employed,New York,678.0,Equifax,2025-09-30T13:25:04.184135,2025,8,1.77,Low Risk
LOAN000020,CUST0086,202369.81,48,10.79,2024-11-19,APPROVED,0,51,F,249344,Unemployed,San Francisco,328.0,Experian,2025-09-30T13:25:03.518163,2024,11,0.81,High Risk
LOAN000021,CUST0260,60680.3,36,9.63,2025-05-08,APPROVED,0,29,F,73327,Employed,Chicago,454.0,TransUnion,2025-09-30T13:25:06.066980,2025,5,0.83,High Risk
LOAN000022,CUST0218,101157.37,36,22.08,2025-06-18,APPROVED,0,66,M,183705,Self-Employed,Chicago,769.0,Equifax,2025-09-30T13:25:05.533371,2025,6,0.55,Low Risk
LOAN000023,CUST0169,333974.87,12,19.81,2024-10-10,APPROVED,0,34,F,83237,Self-Employed,Seattle,767.0,TransUnion,2025-09-30T13:25:04.600793,2024,10,4.01,Low Risk
LOAN000024,CUST0179,487226.23,36,23.77,2025-04-20,APPROVED,1,21,M,163786,Retired,San Francisco,355.0,TransUnion,2025-09-30T13:25:04.767581,2025,4,2.97,High Risk
LOAN000025,CUST0213,266577.23,48,9.08,2025-09-14,PENDING,0,30,M,177531,Self-Employed,Chicago,697.0,TransUnion,2025-09-30T13:25:05.450520,2025,9,1.5,Low Risk
LOAN000026,CUST0230,21706.37,48,6.22,2025-04-08,APPROVED,0,49,M,244809,Unemployed,Chicago,400.0,TransUnion,2025-09-30T13:25:05.721918,2025,4,0.09,High Risk
LOAN000027,CUST0261,467832.47,48,20.17,2025-05-20,APPROVED,0,56,F,49717,Retired,Seattle,561.0,,,2025,5,9.41,High Risk
LOAN000028,CUST0001,309724.4,36,18.88,2025-04-09,APPROVED,0,41,F,186631,Retired,San Francisco,770.0,Experian,2025-09-30T13:25:02.490307,2025,4,1.66,Low Risk
LOAN000029,CUST0207,377251.14,60,20.93,2024-11-16,APPROVED,0,66,M,176109,Unemployed,Chicago,792.0,Experian,2025-09-30T13:25:05.350524,2024,11,2.14,Low Risk
LOAN000030,CUST0293,493066.37,48,9.34,2025-07-15,APPROVED,1,33,M,217163,Unemployed,San Francisco,541.0,Equifax,2025-09-30T13:25:06.633636,2025,7,2.27,High Risk
LOAN000031,CUST0186,168568.41,12,19.69,2025-08-17,APPROVED,0,36,F,245505,Retired,Austin,701.0,Equifax,2025-09-30T13:25:04.961058,2025,8,0.69,Low Risk
LOAN000032,CUST0293,230517.78,36,22.56,2025-04-20,PENDING,0,33,M,217163,Unemployed,San Francisco,541.0,Equifax,2025-09-30T13:25:06.633636,2025,4,1.06,High Risk
LOAN000033,CUST0289,413226.77,36,13.02,2024-11-03,APPROVED,0,41,F,95717,Retired,New York,524.0,Experian,2025-09-30T13:25:06.567901,2024,11,4.32,High Risk
LOAN000034,CUST0188,484577.59,24,13.08,2025-07-04,APPROVED,0,21,F,151486,Unemployed,San Francisco,475.0,TransUnion,2025-09-30T13:25:05.002628,2025,7,3.2,High Risk
LOAN000035,CUST0221,280953.59,12,8.74,2025-09-11,APPROVED,0,56,M,212128,Self-Employed,New York,749.0,Experian,2025-09-30T13:25:05.600532,2025,9,1.32,Low Risk
LOAN000036,CUST0090,265316.84,12,5.31,2025-07-11,APPROVED,0,38,M,244561,Retired,New York,483.0,Equifax,2025-09-30T13:25:03.601135,2025,7,1.08,High Risk
LOAN000037,CUST0219,36381.73,60,15.37,2025-01-05,APPROVED,0,38,F,100269,Retired,Austin,497.0,Equifax,2025-09-30T13:25:05.550719,2025,1,0.36,High Risk
LOAN000038,CUST0298,454094.96,36,23.08,2025-09-23,APPROVED,0,43,M,79160,Self-Employed,Austin,706.0,Equifax,2025-09-30T13:25:06.719809,2025,9,5.74,Low Risk
LOAN000039,CUST0286,478184.18,12,21.06,2025-01-02,PENDING,0,69,M,170533,Self-Employed,San Francisco,617.0,Equifax,2025-09-30T13:25:06.507474,2025,1,2.8,Medium Risk
LOAN000040,CUST0001,331098.43,48,3.97,2025-09-27,APPROVED,0,41,F,186631,Retired,San Francisco,770.0,Experian,2025-09-30T13:25:02.490307,2025,9,1.77,Low Risk
LOAN000041,CUST0035,326662.59,36,18.19,2024-10-16,APPROVED,0,37,F,163070,Retired,Chicago,791.0,Experian,2025-09-30T13:25:02.902333,2024,10,2.0,Low Risk
LOAN000042,CUST0140,400602.66,12,8.14,2025-05-25,APPROVED,0,52,F,121930,Retired,New York,658.0,Equifax,2025-09-30T13:25:04.206516,2025,5,3.29,Medium Risk
LOAN000043,CUST0113,79271.65,60,23.54,2025-07-24,APPROVED,1,73,M,35346,Employed,San Francisco,828.0,Experian,2025-09-30T13:25:03.928368,2025,7,2.24,Low Risk
LOAN000044,CUST0068,69972.54,36,5.64,2025-03-01,PENDING,0,24,F,234030,Unemployed,Seattle,376.0,Experian,2025-09-30T13:25:03.216026,2025,3,0.3,High Risk
LOAN000045,CUST0154,239915.37,12,8.54,2024-10-23,APPROVED,0,29,M,87374,Self-Employed,Seattle,444.0,Experian,2025-09-30T13:25:04.322150,2024,10,2.75,High Risk
LOAN000046,CUST0084,273588.24,36,10.98,2025-04-28,APPROVED,0,58,F,193098,Unemployed,Austin,550.0,Equifax,2025-09-30T13:25:03.487846,2025,4,1.42,High Risk
LOAN000047,CUST0127,158278.66,12,17.37,2024-11-26,PENDING,0,49,F,105492,Unemployed,Seattle,759.0,TransUnion,2025-09-30T13:25:04.107360,2024,11,1.5,Low Risk
LOAN000048,CUST0228,380059.2,12,20.69,2024-12-12,APPROVED,0,44,M,174678,Unemployed,Austin,659.0,Experian,2025-09-30T13:25:05.691557,2024,12,2.18,Medium Risk
LOAN000049,CUST0218,326397.76,12,5.77,2025-05-16,PENDING,0,66,M,183705,Self-Employed,Chicago,769.0,Equifax,2025-09-30T13:25:05.533371,2025,5,1.78,Low Risk
LOAN000050,CUST0208,214837.19,24,7.58,2024-11-22,APPROVED,0,40,M,242832,Employed,Chicago,306.0,TransUnion,2025-09-30T13:25:05.367274,2024,11,0.88,High Risk
LOAN000051,CUST0285,428313.18,12,18.18,2025-03-01,PENDING,0,57,F,117441,Employed,New York,573.0,Experian,2025-09-30T13:25:34.081756,2025,3,3.65,High Risk
LOAN000052,CUST0160,451985.36,24,18.04,2025-03-03,PENDING,0,31,F,56517,Self-Employed,Seattle,438.0,TransUnion,2025-09-30T13:25:04.424547,2025,3,8.0,High Risk
LOAN000053,CUST0054,479491.02,48,12.89,2024-12-10,PENDING,0,45,M,178756,Retired,Austin,567.0,Equifax,2025-09-30T13:25:03.110188,2024,12,2.68,High Risk
LOAN000054,CUST0103,301750.88,36,15.09,2025-07-13,APPROVED,0,65,F,185452,Retired,Chicago,303.0,Equifax,2025-09-30T13:25:31.268503,2025,7,1.63,High Risk
LOAN000055,CUST0165,333694.3,12,13.25,2024-10-31,APPROVED,0,58,M,236082,Employed,San Francisco,712.0,Equifax,2025-09-30T13:25:04.517584,2024,10,1.41,Low Risk
LOAN000056,CUST0008,95633.35,36,9.54,2025-04-23,PENDING,0,58,M,64112,Unemployed,New York,472.0,TransUnion,2025-09-30T13:25:30.026328,2025,4,1.49,High Risk
LOAN000057,CUST0215,263935.23,36,3.97,2025-07-21,APPROVED,0,65,F,207446,Retired,San Francisco,384.0,TransUnion,2025-09-30T13:25:05.483907,2025,7,1.27,High Risk
LOAN000058,CUST0195,173002.24,60,6.13,2024-11-23,PENDING,0,52,F,195978,Unemployed,Austin,586.0,Equifax,2025-09-30T13:25:05.124372,2024,11,0.88,Medium Risk
LOAN000059,CUST0173,234425.81,24,20.71,2025-04-13,APPROVED,0,24,M,130744,Employed,New York,553.0,Experian,2025-09-30T13:25:04.684044,2025,4,1.79,High Risk
LOAN000060,CUST0271,41793.46,36,8.87,2025-04-18,APPROVED,0,69,M,141721,Employed,Austin,365.0,TransUnion,2025-09-30T13:25:06.238965,2025,4,0.29,High Risk
LOAN000061,CUST0132,36569.68,60,12.24,2025-08-10,APPROVED,0,67,M,170136,Retired,Chicago,691.0,Equifax,2025-09-30T13:25:04.146757,2025,8,0.21,Low Risk
LOAN000062,CUST0056,463978.07,60,12.75,2025-08-09,APPROVED,0,21,F,113799,Employed,San Francisco,403.0,Equifax,2025-09-30T13:25:03.120605,2025,8,4.08,High Risk
LOAN000063,CUST0298,134040.43,48,12.2,2025-06-16,APPROVED,0,43,M,79160,Self-Employed,Austin,706.0,Equifax,2025-09-30T13:25:06.719809,2025,6,1.69,Low Risk
LOAN000064,CUST0081,452687.98,12,5.75,2024-11-30,APPROVED,0,23,M,127564,Employed,Seattle,562.0,TransUnion,2025-09-30T13:25:03.427390,2024,11,3.55,High Risk
LOAN000065,CUST0236,375823.28,60,11.94,2025-03-18,APPROVED,0,29,M,216797,Unemployed,Austin,528.0,Equifax,2025-09-30T13:25:05.800513,2025,3,1.73,High Risk
LOAN000066,CUST0011,265406.84,12,7.69,2025-05-06,APPROVED,0,68,M,42909,Retired,Chicago,820.0,Experian,2025-09-30T13:25:02.584316,2025,5,6.19,Low Risk
LOAN000067,CUST0249,283212.63,24,7.95,2024-12-14,PENDING,0,63,F,123862,Unemployed,Austin,440.0,TransUnion,2025-09-30T13:25:05.972670,2024,12,2.29,High Risk
LOAN000068,CUST0281,188683.91,12,9.51,2025-04-07,PENDING,0,56,M,155598,Self-Employed,New York,680.0,TransUnion,2025-09-30T13:25:06.418456,2025,4,1.21,Low Risk
LOAN000069,CUST0174,49586.99,48,9.62,2025-06-25,APPROVED,0,59,M,34371,Self-Employed,Seattle,612.0,TransUnion,2025-09-30T13:25:04.700720,2025,6,1.44,Medium Risk
LOAN000070,CUST0031,232520.64,12,13.94,2025-01-20,REJECTED,0,45,M,130583,Self-Employed,Seattle,681.0,TransUnion,2025-09-30T13:25:02.839891,2025,1,1.78,Low Risk
LOAN000071,CUST0178,389027.89,48,16.71,2025-07-01,APPROVED,0,60,F,123744,Unemployed,Seattle,304.0,Equifax,2025-09-30T13:25:04.762033,2025,7,3.14,High Risk
LOAN000072,CUST0071,493050.9,12,13.02,2025-07-23,APPROVED,0,51,M,186434,Retired,Chicago,416.0,Equifax,2025-09-30T13:25:03.242672,2025,7,2.64,High Risk
LOAN000073,CUST0263,375684.02,48,14.8,2025-08-26,PENDING,0,22,F,207172,Employed,Seattle,691.0,Equifax,2025-09-30T13:25:06.106872,2025,8,1.81,Low Risk
LOAN000074,CUST0225,87045.08,60,14.88,2025-02-27,PENDING,0,32,F,186111,Employed,Austin,393.0,TransUnion,2025-09-30T13:25:33.182495,2025,2,0.47,High Risk
LOAN000075,CUST0297,379494.99,12,5.92,2025-02-09,APPROVED,1,32,F,115781,Employed,Seattle,389.0,TransUnion,2025-09-30T13:25:34.283255,2025,2,3.28,High Risk
LOAN000076,CUST0069,138053.5,24,6.77,2024-12-23,PENDING,0,43,M,217053,Self-Employed,San Francisco,597.0,Equifax,2025-09-30T13:25:03.221954,2024,12,0.64,Medium Risk
LOAN000077,CUST0233,164263.06,48,12.22,2025-07-07,PENDING,0,33,F,239615,Unemployed,Austin,745.0,Equifax,2025-09-30T13:25:05.750399,2025,7,0.69,Low Risk
LOAN000078,CUST0191,119064.4,48,3.53,2024-12-17,APPROVED,0,48,F,42962,Retired,New York,594.0,Equifax,2025-09-30T13:25:32.631312,2024,12,2.77,Medium Risk
LOAN000079,CUST0043,55262.5,24,16.33,2025-01-09,PENDING,0,58,F,82601,Self-Employed,New York,438.0,Equifax,2025-09-30T13:25:02.992459,2025,1,0.67,High Risk
LOAN000080,CUST0133,339301.52,36,18.26,2025-01-30,APPROVED,0,68,M,77866,Self-Employed,New York,326.0,Equifax,2025-09-30T13:25:04.154454,2025,1,4.36,High Risk
LOAN000081,CUST0129,313087.05,60,19.64,2025-02-28,PENDING,0,28,M,68640,Retired,San Francisco,629.0,Equifax,2025-09-30T13:25:04.122665,2025,2,4.56,Medium Risk
LOAN000082,CUST0050,205491.95,12,21.06,2024-11-13,APPROVED,0,31,F,218114,Self-Employed,San Francisco,596.0,Equifax,2025-09-30T13:25:03.064083,2024,11,0.94,Medium Risk
LOAN000083,CUST0167,90938.95,12,14.96,2025-03-21,APPROVED,0,62,M,81218,Retired,San Francisco,366.0,Experian,2025-09-30T13:25:04.567666,2025,3,1.12,High Risk
LOAN000084,CUST0197,447376.46,48,15.63,2025-01-22,APPROVED,0,25,F,139278,Employed,Seattle,841.0,Equifax,2025-09-30T13:25:05.167235,2025,1,3.21,Low Risk
LOAN000085,CUST0276,319650.3,12,4.4,2025-07-04,APPROVED,0,24,F,192966,Self-Employed,Austin,402.0,TransUnion,2025-09-30T13:25:06.324833,2025,7,1.66,High Risk
LOAN000086,CUST0225,170040.04,60,15.39,2025-05-11,APPROVED,0,32,F,186111,Employed,Austin,393.0,TransUnion,2025-09-30T13:25:33.182495,2025,5,0.91,High Risk
LOAN000087,CUST0016,192193.73,60,23.05,2025-09-12,APPROVED,0,45,M,132971,Unemployed,New York,546.0,TransUnion,2025-09-30T13:25:02.629204,2025,9,1.45,High Risk
LOAN000088,CUST0031,410680.5,12,17.15,2025-03-13,APPROVED,0,45,M,130583,Self-Employed,Seattle,681.0,TransUnion,2025-09-30T13:25:02.839891,2025,3,3.14,Low Risk
LOAN000089,CUST0162,488498.75,36,12.19,2024-10-20,APPROVED,0,46,F,81219,Unemployed,San Francisco,318.0,Equifax,2025-09-30T13:25:04.466900,2024,10,6.01,High Risk
LOAN000090,CUST0184,368878.1,36,23.93,2024-10-06,APPROVED,0,24,F,196784,Self-Employed,Austin,838.0,TransUnion,2025-09-30T13:25:32.514093,2024,10,1.87,Low Risk
LOAN000091,CUST0191,183404.51,48,15.27,2025-09-26,APPROVED,0,48,F,42962,Retired,New York,594.0,Equifax,2025-09-30T13:25:32.631312,2025,9,4.27,Medium Risk
LOAN000092,CUST0010,273912.14,12,15.65,2025-05-13,PENDING,0,64,M,47735,Employed,San Francisco,386.0,Equifax,2025-09-30T13:25:02.566406,2025,5,5.74,High Risk
LOAN000093,CUST0215,476688.67,36,12.8,2024-12-08,APPROVED,0,65,F,207446,Retired,San Francisco,384.0,TransUnion,2025-09-30T13:25:05.483907,2024,12,2.3,High Risk
LOAN000094,CUST0073,183730.37,48,11.09,2025-04-08,APPROVED,0,32,F,195817,Unemployed,New York,670.0,TransUnion,2025-09-30T13:25:03.284143,2025,4,0.94,Low Risk
LOAN000095,CUST0202,196722.25,36,9.72,2025-03-15,APPROVED,1,27,M,107088,Retired,Chicago,419.0,TransUnion,2025-09-30T13:25:05.254933,2025,3,1.84,High Risk
LOAN000096,CUST0244,147215.01,24,13.48,2025-05-12,APPROVED,0,44,F,124012,Unemployed,San Francisco,665.0,TransUnion,2025-09-30T13:25:05.908987,2025,5,1.19,Medium Risk
LOAN000097,CUST0067,132317.84,36,6.65,2025-08-08,APPROVED,0,67,M,187457,Retired,Austin,740.0,Experian,2025-09-30T13:25:03.210612,2025,8,0.71,Low Risk
LOAN000098,CUST0050,206050.56,36,20.02,2025-09-10,APPROVED,0,31,F,218114,Self-Employed,San Francisco,596.0,Equifax,2025-09-30T13:25:03.064083,2025,9,0.94,Medium Risk
LOAN000099,CUST0284,387905.95,24,21.04,2025-09-10,APPROVED,0,51,M,223508,Unemployed,Seattle,564.0,Equifax,2025-09-30T13:25:06.473987,2025,9,1.74,High Risk
LOAN000100,CUST0213,110000.31,60,14.31,2025-02-09,APPROVED,0,30,M,177531,Self-Employed,Chicago,697.0,TransUnion,2025-09-30T13:25:05.450520,2025,2,0.62,Low Risk
LOAN000101,CUST0245,396448.23,60,8.05,2025-06-29,APPROVED,0,74,F,238091,Retired,San Francisco,403.0,Experian,2025-09-30T13:25:05.924658,2025,6,1.67,High Risk
LOAN000102,CUST0031,377318.32,24,16.37,2025-06-16,PENDING,0,45,M,130583,Self-Employed,Seattle,681.0,TransUnion,2025-09-30T13:25:02.839891,2025,6,2.89,Low Risk
LOAN000103,CUST0175,366275.78,36,16.79,2025-07-13,APPROVED,0,26,M,100712,Employed,Austin,626.0,Experian,2025-09-30T13:25:04.717524,2025,7,3.64,Medium Risk
LOAN000104,CUST0269,33014.92,24,4.07,2025-08-30,APPROVED,1,40,F,54666,Employed,New York,626.0,Experian,2025-09-30T13:25:06.224897,2025,8,0.6,Medium Risk
LOAN000105,CUST0071,258042.14,60,19.18,2024-12-13,APPROVED,0,51,M,186434,Retired,Chicago,416.0,Equifax,2025-09-30T13:25:03.242672,2024,12,1.38,High Risk
LOAN000106,CUST0087,231003.6,12,19.56,2024-11-26,REJECTED,0,31,F,113055,Self-Employed,Chicago,741.0,TransUnion,2025-09-30T13:25:31.129144,2024,11,2.04,Low Risk
LOAN000107,CUST0076,354478.95,12,6.99,2024-11-09,PENDING,0,21,M,211963,Employed,Seattle,606.0,Equifax,2025-09-30T13:25:03.367729,2024,11,1.67,Medium Risk
LOAN000108,CUST0184,202995.62,12,23.09,2025-01-11,APPROVED,0,24,F,196784,Self-Employed,Austin,838.0,TransUnion,2025-09-30T13:25:32.514093,2025,1,1.03,Low Risk
LOAN000109,CUST0001,455403.25,36,11.62,2025-01-04,APPROVED,1,41,F,186631,Retired,San Francisco,770.0,Experian,2025-09-30T13:25:02.490307,2025,1,2.44,Low Risk
LOAN000110,CUST0196,170905.48,24,9.84,2024-12-05,APPROVED,0,49,F,89130,Retired,Chicago,308.0,Experian,2025-09-30T13:25:05.138425,2024,12,1.92,High Risk
LOAN000111,CUST0104,481908.07,36,21.4,2025-02-12,PENDING,0,40,F,241956,Unemployed,San Francisco,482.0,Experian,2025-09-30T13:25:03.847112,2025,2,1.99,High Risk
LOAN000112,CUST0148,351675.38,60,17.63,2025-01-22,PENDING,0,62,F,166889,Retired,Chicago,342.0,Experian,2025-09-30T13:25:04.255014,2025,1,2.11,High Risk
LOAN000113,CUST0144,278930.85,48,10.74,2025-09-06,APPROVED,0,68,F,116726,Self-Employed,Chicago,847.0,Equifax,2025-09-30T13:25:04.230107,2025,9,2.39,Low Risk
LOAN000114,CUST0247,39387.72,36,7.67,2025-03-21,PENDING,1,56,M,165380,Self-Employed,San Francisco,686.0,Equifax,2025-09-30T13:25:33.587221,2025,3,0.24,Low Risk
LOAN000115,CUST0221,447083.8,60,13.12,2024-10-27,APPROVED,0,56,M,212128,Self-Employed,New York,749.0,Experian,2025-09-30T13:25:05.600532,2024,10,2.11,Low Risk
LOAN000116,CUST0043,182401.47,24,6.8,2025-08-04,APPROVED,0,58,F,82601,Self-Employed,New York,438.0,Equifax,2025-09-30T13:25:02.992459,2025,8,2.21,High Risk
LOAN000117,CUST0233,48785.77,48,22.4,2025-08-22,APPROVED,0,33,F,239615,Unemployed,Austin,745.0,Equifax,2025-09-30T13:25:05.750399,2025,8,0.2,Low Risk
LOAN000118,CUST0277,371561.14,36,10.01,2025-04-21,APPROVED,1,67,F,32900,Self-Employed,Austin,666.0,Equifax,2025-09-30T13:25:06.351670,2025,4,11.29,Medium Risk
LOAN000119,CUST0044,284509.1,60,16.12,2024-11-20,APPROVED,0,33,F,148839,Self-Employed,Seattle,591.0,Equifax,2025-09-30T13:25:03.017658,2024,11,1.91,Medium Risk
LOAN000120,CUST0268,316334.38,24,18.84,2025-03-23,PENDING,0,24,F,134290,Retired,San Francisco,669.0,Equifax,2025-09-30T13:25:33.852140,2025,3,2.36,Medium Risk
LOAN000121,CUST0207,32859.74,60,8.33,2025-07-24,APPROVED,0,66,M,176109,Unemployed,Chicago,792.0,Experian,2025-09-30T13:25:05.350524,2025,7,0.19,Low Risk
LOAN000122,CUST0008,427019.94,24,11.51,2025-07-06,APPROVED,0,58,M,64112,Unemployed,New York,472.0,TransUnion,2025-09-30T13:25:30.026328,2025,7,6.66,High Risk
LOAN000123,CUST0192,46968.26,12,9.64,2025-08-24,APPROVED,0,70,F,28801,Employed,Seattle,665.0,Experian,2025-09-30T13:25:05.083776,2025,8,1.63,Medium Risk
LOAN000124,CUST0165,439136.43,36,21.09,2025-08-24,APPROVED,0,58,M,236082,Employed,San Francisco,712.0,Equifax,2025-09-30T13:25:04.517584,2025,8,1.86,Low Risk
LOAN000125,CUST0036,53384.18,24,4.8,2025-01-15,APPROVED,0,26,F,78823,Employed,Austin,521.0,Equifax,2025-09-30T13:25:02.922734,2025,1,0.68,High Risk
LOAN000126,CUST0009,134828.53,60,23.84,2025-07-23,APPROVED,0,41,F,115798,Unemployed,New York,849.0,TransUnion,2025-09-30T13:25:30.032742,2025,7,1.16,Low Risk
LOAN000127,CUST0003,127614.57,48,11.58,2025-05-27,APPROVED,0,43,F,245034,Unemployed,Seattle,603.0,TransUnion,2025-09-30T13:25:02.502508,2025,5,0.52,Medium Risk
LOAN000128,CUST0093,309777.5,36,21.16,2024-11-19,REJECTED,0,45,M,75390,Retired,Seattle,633.0,Equifax,2025-09-30T13:25:03.656237,2024,11,4.11,Medium Risk
LOAN000129,CUST0182,316192.03,24,12.16,2025-05-22,APPROVED,0,29,F,32050,Employed,New York,453.0,Equifax,2025-09-30T13:25:04.851746,2025,5,9.87,High Risk
LOAN000130,CUST0164,58721.95,48,22.42,2025-09-09,APPROVED,0,57,F,213650,Self-Employed,San Francisco,520.0,Equifax,2025-09-30T13:25:04.504252,2025,9,0.27,High Risk
LOAN000131,CUST0097,199416.19,12,14.27,2025-01-29,APPROVED,1,70,F,160881,Unemployed,Austin,561.0,,,2025,1,1.24,High Risk
LOAN000132,CUST0066,159886.71,60,5.99,2025-05-10,APPROVED,0,59,M,168149,Unemployed,New York,760.0,TransUnion,2025-09-30T13:25:03.205650,2025,5,0.95,Low Risk
LOAN000133,CUST0241,150894.48,24,4.2,2025-04-09,APPROVED,0,45,F,184783,Employed,Austin,412.0,Equifax,2025-09-30T13:25:33.446256,2025,4,0.82,High Risk
LOAN000134,CUST0201,193927.12,60,21.12,2024-10-14,APPROVED,0,36,F,76186,Unemployed,New York,377.0,Equifax,2025-09-30T13:25:05.233771,2024,10,2.55,High Risk
LOAN000135,CUST0139,424889.34,24,21.64,2024-10-13,REJECTED,0,44,M,162750,Retired,Seattle,772.0,TransUnion,2025-09-30T13:25:04.198769,2024,10,2.61,Low Risk
LOAN000136,CUST0234,494920.79,12,14.45,2025-05-19,REJECTED,0,21,M,151135,Self-Employed,Chicago,341.0,TransUnion,2025-09-30T13:25:05.766574,2025,5,3.27,High Risk
LOAN000137,CUST0060,250641.1,60,21.25,2025-06-11,APPROVED,0,54,M,116996,Employed,San Francisco,315.0,Experian,2025-09-30T13:25:03.142906,2025,6,2.14,High Risk
LOAN000138,CUST0045,160666.56,48,22.28,2025-03-30,APPROVED,0,51,M,100289,Unemployed,New York,348.0,Experian,2025-09-30T13:25:03.024382,2025,3,1.6,High Risk
LOAN000139,CUST0237,474319.8,24,6.37,2025-05-14,APPROVED,0,61,M,164656,Self-Employed,Austin,799.0,Equifax,2025-09-30T13:25:05.817737,2025,5,2.88,Low Risk
LOAN000140,CUST0170,305527.57,48,14.85,2025-09-18,APPROVED,0,21,M,159568,Employed,Austin,782.0,Experian,2025-09-30T13:25:04.634076,2025,9,1.91,Low Risk
LOAN000141,CUST0022,220292.56,24,17.63,2025-04-29,REJECTED,0,64,M,237787,Unemployed,Seattle,629.0,TransUnion,2025-09-30T13:25:02.727314,2025,4,0.93,Medium Risk
LOAN000142,CUST0138,231253.15,24,18.85,2024-10-30,APPROVED,0,22,F,100716,Self-Employed,San Francisco,316.0,Equifax,2025-09-30T13:25:04.191401,2024,10,2.3,High Risk
LOAN000143,CUST0100,173906.85,36,15.04,2025-02-26,APPROVED,0,26,F,45239,Retired,Chicago,826.0,Experian,2025-09-30T13:25:03.801132,2025,2,3.84,Low Risk
LOAN000144,CUST0291,188411.07,12,13.18,2025-07-02,APPROVED,0,54,M,134263,Employed,New York,738.0,Equifax,2025-09-30T13:25:06.602245,2025,7,1.4,Low Risk
LOAN000145,CUST0167,291500.79,12,6.04,2025-09-05,PENDING,0,62,M,81218,Retired,San Francisco,366.0,Experian,2025-09-30T13:25:04.567666,2025,9,3.59,High Risk
